"job_id","salary_year_avg","company_name","job_title_short","job_title","job_location","job_schedule_type","job_country"
226942,"650000.0","Mantys","Data Analyst","Data Analyst","Anywhere","Full-time","India"
547382,"336500.0","Meta","Data Analyst","Director of Analytics","Anywhere","Full-time","United States"
552322,"255829.5","AT&T","Data Analyst","Associate Director- Data Insights","Anywhere","Full-time","United States"
99305,"232423.0","Pinterest Job Advertisements","Data Analyst","Data Analyst, Marketing","Anywhere","Full-time","United States"
1021647,"217000.0","Uclahealthcareers","Data Analyst","Data Analyst (Hybrid/Remote)","Anywhere","Full-time","United States"
168310,"205000.0","SmartAsset","Data Analyst","Principal Data Analyst (Remote)","Anywhere","Full-time","United States"
731368,"189309.0","Inclusively","Data Analyst","Director, Data Analyst - HYBRID","Anywhere","Full-time","United States"
310660,"189000.0","Motional","Data Analyst","Principal Data Analyst, AV Performance Analysis","Anywhere","Full-time","United States"
1749593,"186000.0","SmartAsset","Data Analyst","Principal Data Analyst","Anywhere","Full-time","United States"
1638595,"185000.0","Patterned Learning AI","Senior Data Analyst","Senior Data Analyst","Anywhere","Full-time","United States"
