"skills","avg_salary"
"svn","400000.00"
"vmware","261250.00"
"yarn","219575.00"
"fastapi","185000.00"
"solidity","179000.00"
"golang","162833.33"
"couchbase","160515.00"
"mxnet","149000.00"
"dplyr","147633.33"
"twilio","138500.00"
"perl","133928.67"
"gitlab","133826.00"
"puppet","129820.00"
"datarobot","128992.75"
"kafka","128659.01"
"terraform","127940.30"
"nltk","124875.00"
"hugging face","123950.00"
"rust","122040.00"
"pytorch","122013.04"
"airflow","121657.61"
"atlassian","118915.78"
"notion","118091.67"
"cassandra","117889.62"
"scala","117772.98"
