"skill_id","skills","skill_count","avg_salary"
0,"sql","9487","100445.70"
1,"python","6732","105390.01"
181,"excel","5079","89056.22"
182,"tableau","4839","101741.80"
183,"power bi","3860","95650.80"
5,"r","3288","102544.61"
74,"azure","1580","107613.73"
189,"sap","1287","94292.14"
76,"aws","1117","109545.86"
7,"sas","1087","97855.32"
186,"sas","1087","97855.32"
196,"powerpoint","1023","90017.13"
79,"oracle","792","103642.22"
185,"looker","743","109728.90"
80,"snowflake","733","112973.97"
8,"go","731","102372.66"
22,"vba","728","96502.60"
92,"spark","725","116751.51"
61,"sql server","692","99389.61"
187,"qlik","672","103124.61"
188,"word","667","85294.92"
4,"java","588","104878.38"
75,"databricks","583","115342.25"
215,"flow","582","100223.42"
9,"javascript","569","92910.49"
233,"jira","553","109730.33"
201,"alteryx","496","106961.59"
97,"hadoop","495","112872.25"
210,"git","430","113315.89"
199,"spss","393","90425.46"
56,"mysql","383","104275.25"
93,"pandas","371","113912.66"
184,"dax","369","102357.66"
77,"bigquery","360","106643.96"
78,"redshift","359","110899.66"
81,"gcp","345","113115.94"
194,"ssis","324","99707.71"
96,"airflow","290","121657.61"
195,"sharepoint","286","90195.07"
3,"scala","272","117772.98"
95,"pyspark","268","114578.37"
2,"nosql","267","110260.54"
192,"sheets","256","87760.07"
234,"confluence","246","115223.01"
105,"gdpr","238","107052.04"
94,"numpy","235","108453.19"
57,"postgresql","229","112804.89"
15,"matlab","228","99971.62"
197,"ssrs","221","93607.10"
10,"html","189","91640.05"
26,"c","188","106156.60"
14,"c#","179","100416.06"
216,"github","172","106491.71"
170,"windows","170","88837.90"
169,"linux","168","113498.54"
191,"microstrategy","162","98462.26"
108,"matplotlib","160","108158.32"
141,"express","157","110547.77"
198,"outlook","156","81890.42"
6,"shell","155","110330.15"
204,"visio","148","101951.19"
99,"tensorflow","145","117611.18"
13,"c++","145","109759.78"
106,"scikit-learn","142","105224.66"
200,"cognos","142","92884.86"
168,"unix","140","109448.99"
98,"kafka","134","128659.01"
202,"ms access","131","88759.83"
18,"mongodb","126","115587.50"
62,"mongodb","126","115587.50"
214,"docker","115","101567.34"
110,"react","115","93550.00"
102,"jupyter","113","112443.08"
213,"kubernetes","113","105766.94"
16,"t-sql","112","97351.08"
11,"css","107","93361.85"
101,"pytorch","100","122013.04"
190,"spreadsheet","90","82064.89"
112,"plotly","83","109113.85"
120,"seaborn","70","101808.12"
100,"keras","68","117268.71"
247,"slack","65","92118.09"
25,"php","64","115942.35"
67,"db2","64","111602.68"
219,"atlassian","59","118915.78"
20,"powershell","59","105258.97"
12,"bash","59","105074.72"
29,"julia","57","78366.88"
211,"jenkins","55","100184.27"
82,"firebase","53","101703.75"
66,"firebase","53","101703.75"
193,"splunk","52","113508.63"
59,"elasticsearch","51","106106.36"
63,"cassandra","50","117889.62"
35,"swift","50","116625.00"
136,"angular","50","108985.25"
212,"terraform","42","127940.30"
32,"assembly","41","90511.78"
28,"no-sql","39","115633.14"
220,"gitlab","38","133826.00"
218,"bitbucket","36","116711.75"
21,"visual basic","36","87984.75"
31,"perl","35","133928.67"
142,"flask","35","108081.95"
23,"crystal","34","87944.45"
119,"dplyr","32","147633.33"
24,"mongo","30","106158.41"
221,"chef","30","86733.33"
17,"typescript","30","84435.92"
248,"zoom","29","105144.18"
139,"django","29","98543.69"
226,"terminal","28","84020.74"
124,"selenium","26","82500.00"
148,"jquery","25","111932.50"
145,"node.js","25","109618.31"
249,"microsoft teams","25","85570.03"
237,"asana","23","89452.85"
73,"vmware","22","261250.00"
83,"aurora","21","113393.90"
225,"unity","20","114760.44"
104,"spring","20","98373.73"
223,"ansible","19","115913.33"
235,"planner","19","82914.04"
144,"ruby","18","87673.92"
30,"ruby","18","87673.92"
103,"nltk","17","124875.00"
238,"notion","17","118091.67"
252,"unify","16","111219.77"
236,"smartsheet","16","71835.19"
58,"neo4j","15","112981.31"
149,"asp.net","15","108333.33"
137,"phoenix","14","113699.26"
176,"macos","12","68581.55"
64,"dynamodb","11","111840.00"
206,"datarobot","10","128992.75"
55,"redis","10","97862.50"
227,"unreal","10","89112.50"
37,"dart","10","72673.83"
122,"opencv","10","67818.00"
115,"ggplot2","9","105788.40"
60,"mariadb","9","96000.00"
177,"arch","9","86835.00"
42,"vb.net","8","69600.00"
239,"trello","8","65193.46"
217,"yarn","7","219575.00"
222,"puppet","7","129820.00"
85,"watson","7","108103.00"
138,"vue","7","77050.00"
156,"laravel","7","60000.00"
224,"svn","6","400000.00"
111,"rshiny","6","116138.88"
123,"electron","6","111175.00"
84,"ibm cloud","6","108181.82"
118,"theano","6","100000.00"
255,"webex","6","88750.00"
240,"wrike","6","75000.00"
27,"golang","5","162833.33"
70,"sqlite","5","102280.00"
229,"npm","5","89600.00"
116,"graphql","5","80744.50"
143,"fastapi","4","185000.00"
109,"mxnet","4","149000.00"
154,"node","4","108320.00"
45,"pascal","4","92000.00"
44,"fortran","4","82500.00"
107,"tidyverse","4","70599.93"
250,"twilio","3","138500.00"
46,"cobol","3","102795.80"
242,"clickup","3","90000.00"
254,"symphony","3","87200.00"
241,"monday.com","3","79000.00"
88,"colocation","3","67500.00"
38,"solidity","2","179000.00"
121,"hugging face","2","123950.00"
253,"wire","2","90465.42"
232,"airtable","2","90006.25"
140,"vue.js","2","88250.00"
65,"couchbase","1","160515.00"
39,"rust","1","122040.00"
243,"workfront","1","84492.02"
153,"ruby on rails","1","58529.50"
