"company_id","company_name","company_location","total_listings"
1091,"Morgan McKinley","Ireland","93"
187,"Wells Fargo","India","88"
265,"PepsiCo","India","86"
42062,"Prometrics Solutions","India","78"
152,"UnitedHealth Group","Ireland","68"
1105,"JPMorgan Chase & Co.","India","61"
13388,"Maxgen Technologies Private Limited","India","57"
4733,"JP Morgan Chase","India","55"
4495,"Ovidtech Technologies","India","52"
735,"Kolle Rebbe","Ireland","48"
7481,"Citi bank","India","43"
13538,"Bank of Ireland","Ireland","43"
605,"Deloitte","India","42"
4911,"Wipro","India","39"
212,"EPAM Systems","India","36"
